,tweet_id,retweet_count,favorite_count
402,821886076407029760,2115,10430
403,821813639212650496,3085,0
404,821765923262631936,1543,7711
405,821522889702862852,1617,7400
406,821421320206483457,5066,0
407,821407182352777218,3947,10874
408,821153421864615936,8,228
409,821149554670182400,1803,7926
410,821107785811234820,1941,8825
411,821044531881721856,2089,11638
412,820837357901512704,6148,0
413,820749716845686786,9073,29110
414,820690176645140481,2966,11332
415,820494788566847489,517,0
416,820446719150292993,2361,0
417,820314633777061888,517,3089
418,820078625395449857,5696,18240
419,820013781606658049,1070,0
420,819952236453363712,1070,4902
421,819924195358416896,4487,11978
422,819711362133872643,2820,12307
423,819588359383371776,1842,8915
424,819347104292290561,1102,6669
425,819238181065359361,375,2076
426,819227688460238848,6148,21280
427,819015337530290176,34043,0
428,819015331746349057,17537,0
429,819006400881917954,17537,42079
430,819004803107983360,34043,80938
431,818646164899774465,19166,0
432,818627210458333184,6960,20780
433,818614493328580609,2324,9095
434,818588835076603904,5609,0
435,818536468981415936,2239,10028
436,818307523543449600,7357,0
437,818259473185828864,2054,10175
438,818145370475810820,2337,11363
439,817908911860748288,728,4505
440,817827839487737858,24748,47653
441,817777686764523521,2490,9985
442,817536400337801217,2692,10897
443,817502432452313088,3091,0
444,817423860136083457,13393,31219
445,817415592588222464,878,5187
446,817181837579653120,7752,0
447,817171292965273600,1836,8091
448,817120970343411712,2376,11290
449,817056546584727552,1495,7956
450,816829038950027264,4324,0
451,816816676327063552,1870,9268
452,816697700272001025,2020,9046
453,816450570814898180,7357,28106
454,816336735214911488,1773,7995
455,816091915477250048,1966,8306
456,816062466425819140,927,0
457,816014286006976512,4816,0
458,815990720817401858,927,4583
459,815966073409433600,7752,20718
460,815745968457060357,3809,0
461,815736392542261248,2087,9085
462,815639385530101762,1531,7612
463,815390420867969024,3521,9617
464,814986499976527872,1178,7104
465,814638523311648768,2495,10456
466,814578408554463233,5381,0
467,814530161257443328,1725,8061
468,814153002265309185,7987,26714
469,813944609378369540,2918,0
470,813910438903693312,1715,8635
471,813812741911748608,12832,33824
472,813800681631023104,1628,7706
473,813217897535406080,6763,17290
474,813202720496779264,1681,8583
475,813187593374461952,3986,18388
476,813172488309972993,1785,8603
477,813157409116065792,2042,7198
478,813142292504645637,2215,7880
479,813130366689148928,413,4163
480,813127251579564032,2890,10986
481,813112105746448384,2541,9583
482,813096984823349248,3334,9783
483,813081950185472002,2566,9219
484,813066809284972545,1810,7392
485,813051746834595840,6754,19485
486,812781120811126785,1770,7008
487,812709060537683968,1340,6135
488,812503143955202048,1132,5602
489,812466873996607488,1778,7383
490,812372279581671427,3378,12646
491,811985624773361665,1298,6757
492,811744202451197953,1452,7012
493,811647686436880384,671,5188
494,811627233043480576,2812,11809
495,811386762094317568,5901,19397
496,810984652412424192,1309,4930
497,810896069567610880,1615,8334
498,810657578271330305,2433,10180
499,810284430598270976,10370,32593
500,810254108431155201,3115,13599
501,809920764300447744,3627,14398
502,809808892968534016,4515,0
503,809448704142938112,1349,6460
504,809220051211603969,5167,18438
505,809084759137812480,3244,12239
506,808838249661788160,2821,9402
507,808733504066486276,2008,7330
508,808501579447930884,2425,10497
509,808344865868283904,19166,39410
510,808134635716833280,5439,0
511,808106460588765185,2037,8191
512,808001312164028416,3260,11597
513,807621403335917568,3344,13544
514,807106840509214720,50867,109339
515,807059379405148160,6779,0
516,807010152071229440,3569,12145
517,806629075125202948,31922,69104
518,806620845233815552,5069,0
519,806576416489959424,1797,4528
520,806542213899489280,2189,9515
521,806242860592926720,10716,0
522,806219024703037440,1110,5987
523,805958939288408065,4943,0
524,805932879469572096,1775,7689
525,805826884734976000,1694,6114
526,805823200554876929,7363,0
527,805520635690676224,1530,5359
528,805487436403003392,2340,8133
529,805207613751304193,1603,7303
530,804738756058218496,3552,12645
531,804475857670639616,1862,5697
532,804413760345620481,2963,0
533,804026241225523202,14825,41265
534,803773340896923648,2554,9337
535,803692223237865472,6805,0
536,803638050916102144,3842,10166
537,803380650405482500,1746,7215
538,803321560782307329,4891,0
539,803276597545603072,2267,9318
540,802952499103731712,1846,8404
541,802624713319034886,2694,0
542,802600418706604034,1368,6609
543,802572683846291456,2328,8328
544,802323869084381190,5401,14999
545,802265048156610565,1275,6461
546,802239329049477120,2421,8456
547,802185808107208704,248,0
548,801958328846974976,1573,7207
549,801854953262350336,216,1689
550,801538201127157760,1928,7633
551,801285448605831168,764,5620
552,801167903437357056,5439,22604
553,801127390143516673,3654,0
554,801115127852503040,1968,7501
555,800859414831898624,89,639
556,800855607700029440,1498,0
557,800751577355128832,2597,9873
558,800513324630806528,2781,12180
559,800459316964663297,2032,8833
560,800443802682937345,3985,0
561,800388270626521089,2600,10366
562,800188575492947969,3638,0
563,800141422401830912,2361,14218
564,800018252395122689,12140,26365
565,799774291445383169,4302,0
566,799757965289017345,1983,7769
567,799422933579902976,1774,7479
568,799308762079035393,5023,0
569,799297110730567681,2521,9188
570,799063482566066176,2315,7522
571,798933969379225600,4104,12141
572,798925684722855936,1340,6971
573,798705661114773508,6127,0
574,798701998996647937,7126,0
575,798697898615730177,6006,0
576,798694562394996736,4582,0
577,798686750113755136,2150,0
578,798682547630837760,4375,0
579,798673117451325440,5146,0
580,798665375516884993,3646,0
581,798644042770751489,1726,0
582,798628517273620480,1840,0
583,798585098161549313,5192,0
584,798576900688019456,5411,0
585,798340744599797760,3094,0
586,798209839306514432,2395,9706
587,797971864723324932,2855,10728
588,797545162159308800,4558,13523
589,797236660651966464,6071,18524
590,797165961484890113,24,210
591,796904159865868288,8238,0
592,796865951799083009,1817,7145
593,796759840936919040,2792,10946
594,796563435802726400,6632,0
595,796484825502875648,1628,7018
596,796387464403357696,3834,10206
597,796177847564038144,13173,0
598,796149749086875649,13173,29874
599,796125600683540480,1662,4625
600,796116448414461957,2217,8434
601,796080075804475393,2140,7814
602,796031486298386433,3454,10025
603,795464331001561088,21652,45857
604,795400264262053889,2649,9328
605,795076730285391872,5028,15011
606,794983741416415232,3121,0
607,794926597468000259,2134,9457
608,794355576146903043,9533,0
609,794332329137291264,2504,8923
610,794205286408003585,3074,8568
611,793962221541933056,4515,15562
612,793845145112371200,1721,8541
613,793614319594401792,2876,0
614,793601777308463104,1501,7401
615,793500921481273345,2199,9878
616,793286476301799424,8473,22796
617,793271401113350145,2224,8056
618,793256262322548741,7680,18524
619,793241302385262592,3035,9746
620,793226087023144960,2683,9090
621,793210959003287553,2579,8269
622,793195938047070209,5214,14146
623,793180763617361921,1840,6412
624,793165685325201412,2598,8700
625,793150605191548928,1573,5700
626,793135492858580992,2313,5959
627,793120401413079041,3626,11764
628,792913359805018113,3656,13286
629,792883833364439040,3943,10457
630,792773781206999040,1557,6834
631,792394556390137856,3962,12426
632,792050063153438720,1650,6609
633,791821351946420224,19406,0
634,791784077045166082,8756,0
635,791780927877898241,3508,0
636,791774931465953280,20474,41914
637,791672322847637504,2876,10866
638,791406955684368384,3809,12193
639,791312159183634433,2332,8115
640,791026214425268224,3751,0
641,790987426131050500,1961,9088
642,790946055508652032,4324,15502
643,790723298204217344,2113,0
644,790698755171364864,1783,7625
645,790581949425475584,6556,19169
646,790337589677002753,1747,7248
647,790277117346975746,2918,11605
648,790227638568808452,3251,0
649,789986466051088384,2113,8614
650,789960241177853952,3761,0
651,789903600034189313,3832,9555
652,789628658055020548,1616,6925
653,789599242079838210,1767,6244
654,789530877013393408,3121,10844
655,789314372632018944,2110,8015
656,789280767834746880,4522,0
657,789268448748703744,2415,8474
658,789137962068021249,2573,9010
659,788908386943430656,11523,25431
660,788765914992902144,9533,25340
661,788552643979468800,6557,0
662,788412144018661376,4866,14414
663,788178268662984705,1954,6749
664,788150585577050112,1188,5689
665,788070120937619456,3177,0
666,788039637453406209,1209,5662
667,787810552592695296,2800,7974
668,787717603741622272,2544,9470
669,787397959788929025,2625,10080
670,787322443945877504,1610,7222
671,787111942498508800,6214,0
672,786963064373534720,7317,24655
673,786729988674449408,2232,0
674,786709082849828864,5637,16943
675,786664955043049472,2335,9833
676,786595970293370880,2881,8757
677,786363235746385920,3176,10070
678,786286427768250368,2610,7396
679,786233965241827333,4313,14061
680,786051337297522688,144,1324
681,786036967502913536,6417,0
682,785927819176054784,2939,10533
683,785872687017132033,1651,6178
684,785639753186217984,2082,7250
